,Acceleration,Channel 1 Power,Channel 1 Power 1-4,Channel 1 Power 4-8,Channel 2 Power,Channel 2 Power 1-4,Channel 2 Power 4-8,Minutes,Record,Subject
116,3583.4848683333335,1.2229547856926144,0.008816865439603591,3.8779075450482787e-07,0.0005213790675924169,3.7563438009431953e-06,8.8456578102014e-11,220.0,Day 2,S1
117,12991.100155,1.061443933175148,0.007768494277586411,1.1697200074764587e-05,0.0005346997276479405,3.8521373976250705e-06,4.313058368186382e-11,225.0,Day 2,S1
118,25895.933973333333,0.0293783530174102,0.00021164565782646552,2.1843830562583306e-10,0.0005606017573142971,4.038750984330873e-06,4.9603497805412655e-11,230.0,Day 2,S1
119,27957.206696666668,0.028882384576896063,0.00020807269014040344,1.5089935422214969e-10,0.0005604823234086616,4.037934379144177e-06,4.970661245572186e-11,235.0,Day 2,S1
120,15013.4378,0.02812257834638954,0.0002025991472294711,3.1432252834752134e-10,0.0005735789860197298,4.132411427991077e-06,8.185154745106137e-11,240.0,Day 2,S1
121,3370.930265,0.027502680128760178,0.0001981334489677669,4.2230682276647786e-10,0.0005595899544486104,4.031709695408439e-06,1.0968572279602643e-10,245.0,Day 2,S1
122,22.29751,0.026994148080650603,0.00019447059622328315,6.799222153941051e-10,0.0005615346503090571,4.046139963504187e-06,2.4043096256793543e-10,250.0,Day 2,S1
123,38.33074333333333,0.026814837915400503,0.00019317772588104014,4.1176392966940953e-10,0.0005601042548204934,4.035328528690852e-06,1.05061283126065e-10,255.0,Day 2,S1
124,1159.217375,0.026674706990576533,0.00019216936734775997,5.775187155630519e-10,0.0005576661174121343,4.018184778500529e-06,2.0328039069227653e-10,260.0,Day 2,S1
125,19.669368333333335,0.026502461373461815,0.00019092830977718569,8.09499509484967e-10,0.0005534293811768433,3.987967615873568e-06,2.867514813412931e-10,265.0,Day 2,S1
126,72.24730666666666,0.026223788881052843,0.00018892042763874855,6.704200070062967e-10,0.0005556156948231034,4.00357694730791e-06,2.41933230940519e-10,270.0,Day 2,S1
127,31.84071,0.02592248021618252,0.0001867489282756003,4.6435768783847654e-10,0.0005341397890175285,3.848171717032098e-06,9.317232210815527e-11,275.0,Day 2,S1
128,48.37947333333334,0.02575749128753804,0.00018556116729955463,4.878082972973446e-10,0.0005268583072298561,3.796088425586157e-06,1.7144022303546846e-10,280.0,Day 2,S1
129,20.94693,0.025541830791347576,0.00018400732645009528,7.33553518498755e-10,0.0005306805442523881,3.823873812923641e-06,2.481721629278471e-10,285.0,Day 2,S1
130,188.74991166666666,0.02534643704999618,0.00018259995662106842,6.120172788533694e-10,0.0005244890076716138,3.7790997853949993e-06,2.2156979156269683e-10,290.0,Day 2,S1
131,1474.0883666666666,0.025258010830231277,0.0001819626354567361,4.718655008007505e-10,0.0005347311157959441,3.852751540048694e-06,1.6724527769044497e-10,295.0,Day 2,S1
132,28.56726,0.025359563189097243,0.00018269390232282404,4.166095813435165e-10,0.0005435442675900058,3.916140167816725e-06,1.5767876098941826e-10,300.0,Day 2,S1
133,765.4923216666666,0.025290175152231267,0.0001821943737521603,3.773948547093008e-10,0.0005441866029129973,3.920788475397075e-06,1.3698335119837828e-10,305.0,Day 2,S1
134,75.043685,0.02500111647551799,0.00018011140720062752,6.069957568147575e-10,0.0005539995350840295,3.99167487988916e-06,2.2436601924585225e-10,310.0,Day 2,S1
135,98.22763666666667,0.024972359048672038,0.00017990508862560163,6.341009274032414e-10,0.0005662061097345048,4.0796975904237156e-06,2.188789131965456e-10,315.0,Day 2,S1
