,Acceleration,Channel 1 Power,Channel 1 Power 1-4,Channel 1 Power 4-8,Channel 2 Power,Channel 2 Power 1-4,Channel 2 Power 4-8,Minutes,Record,Subject
32,41.49890333333333,0.05515309796783284,1.6606827091128066e-09,1.0175205237211082e-09,0.016859488404182683,1.584956710837274e-09,1.4027898842341185e-09,160.0,Day 2,RecV3_2_ang+
33,218.18048333333334,0.055235008191940334,1.4137078736544836e-09,9.638571968613655e-10,0.0169642787579272,1.4889880694011493e-09,1.2582833826166435e-09,165.0,Day 2,RecV3_2_ang+
34,5685.535686666667,0.05517353929663459,5.664367812028534e-10,4.206609202419884e-10,0.016380287164543584,7.001511822706195e-10,5.686148762633355e-10,170.0,Day 2,RecV3_2_ang+
35,26462.53791,0.055653029032177184,8.572123515902251e-10,3.5834432883534007e-10,0.016558224634249486,7.597109071091158e-10,3.613203239081567e-10,175.0,Day 2,RecV3_2_ang+
36,14835.664306666667,0.05555387245745186,6.72215352025282e-10,4.6087851518881857e-10,0.016535859383812034,7.108639397161373e-10,5.703610836829087e-10,180.0,Day 2,RecV3_2_ang+
37,140.70086,0.05485801575680699,1.142039805308311e-09,8.447945014697576e-10,0.016206293374610787,1.1971819083986522e-09,1.2493544102774124e-09,185.0,Day 2,RecV3_2_ang+
38,1203.39028,0.054662501482682806,1.143220572063056e-09,7.979936883297972e-10,0.016411324258517535,1.2317579314180936e-09,1.0956513391800636e-09,190.0,Day 2,RecV3_2_ang+
39,235.15203666666667,0.05464978420549768,9.916626290308686e-10,8.239270727806677e-10,0.01631814178402791,9.811834542540666e-10,1.1032299478734373e-09,195.0,Day 2,RecV3_2_ang+
40,186.04404666666667,0.0546172732384885,1.045081392911984e-09,7.03089015774863e-10,0.01589304121033325,1.0824338140037818e-09,9.775054727683998e-10,200.0,Day 2,RecV3_2_ang+
41,195.71995,0.054879124037077176,2.2300804889132023e-09,1.1891680629663052e-09,0.016364749102033033,2.162527836595288e-09,1.5277089495836764e-09,205.0,Day 2,RecV3_2_ang+
42,19639.02119,0.05606180118810019,8.69930266660415e-10,5.500832170789891e-10,0.016600786589928307,8.881512202034062e-10,8.653475019560518e-10,210.0,Day 2,RecV3_2_ang+
43,34725.742633333335,0.05706601083198534,6.403575247878642e-10,3.09417262306715e-10,0.016644286846623207,7.622659259862113e-10,4.309969407497923e-10,215.0,Day 2,RecV3_2_ang+
44,7501.777926666667,0.05631236779931831,5.887578226077505e-10,3.6295106265315864e-10,0.01649783145066371,7.700136931265996e-10,5.178461282290521e-10,220.0,Day 2,RecV3_2_ang+
45,15801.819786666667,0.05613076505921473,6.862106630068697e-10,4.402667448486085e-10,0.016580119728939326,9.399528121224358e-10,5.824684511272614e-10,225.0,Day 2,RecV3_2_ang+
46,2623.282906666667,0.055773759608174524,8.660649582355359e-10,6.644488341211319e-10,0.016773905366043427,9.321737575304408e-10,1.0114344836254156e-09,230.0,Day 2,RecV3_2_ang+
47,90.15930333333333,0.055762968906337675,1.489389950488543e-09,1.0938830195097222e-09,0.016754383414807148,1.4190143693659432e-09,1.4018077802704926e-09,235.0,Day 2,RecV3_2_ang+
48,106.78713333333333,0.0556841725925447,1.2559716892062532e-09,9.38333625052308e-10,0.016788025246786745,1.385155229981939e-09,1.2805531324101685e-09,240.0,Day 2,RecV3_2_ang+
49,93.05031666666666,0.05549524107720916,1.1263227588980651e-09,8.857670278134183e-10,0.016699795526734236,1.1456134867346172e-09,1.2390991265465737e-09,245.0,Day 2,RecV3_2_ang+
50,106.71324666666666,0.055274368849919917,1.1242222523975642e-09,8.530690269375425e-10,0.016521879813946743,1.1998293580148112e-09,1.2543094668023095e-09,250.0,Day 2,RecV3_2_ang+
51,2477.7267266666668,0.0556784045866546,7.78732226740269e-10,6.703839980327784e-10,0.01615979456012196,9.320843722251495e-10,8.333559117815724e-10,255.0,Day 2,RecV3_2_ang+
