,Unnamed: 0,Channel 1 Power,Channel 1 Power 1-4,Channel 1 Power 4-8,Channel 2 Power,Channel 2 Power 1-4,Channel 2 Power 4-8,Acceleration,Subject,Record
130,130,0.003157567356366499,2.2749388255651955e-05,1.6201527607591255e-09,0.020946197395017192,0.0001509003450934906,8.153763028781722e-10,8.28655,S2,Day 2
131,131,0.003182940862684449,2.2932460703976928e-05,1.5650704734097744e-09,0.020881022217435416,0.00015043117533173377,8.627693870856596e-10,11.797186666666667,S2,Day 2
132,132,0.0032133008051863643,2.314993935120709e-05,1.0423057008624507e-09,0.021320873089954964,0.00015359901500751653,4.974646247062052e-10,868.3948566666667,S2,Day 2
133,133,0.003343524135356689,2.408776402983638e-05,5.66233427742755e-10,0.0218911814624085,0.00015770700169794567,2.444082414293926e-10,2956.5047733333336,S2,Day 2
134,134,0.0032930726683787514,2.372437259250455e-05,4.718483982902636e-10,0.0220217130641668,0.00015864749511500275,2.3806498570194627e-10,5344.200493333334,S2,Day 2
135,135,0.003128487659767028,2.253876157513903e-05,6.027031123899237e-10,0.021746426652348792,0.0001566643002420999,3.30359424838314e-10,5091.048433333333,S2,Day 2
136,136,0.0030914583671115088,2.2273223817124842e-05,1.6365556848151707e-09,0.0225532034941546,0.00016247759854210784,9.071028979628928e-10,41.52964333333333,S2,Day 2
137,137,0.0032097985025471925,2.3124322999766555e-05,5.013012055540702e-10,0.022738874865351925,0.00016381411269347386,2.2036969238386884e-10,2205.19761,S2,Day 2
138,138,0.003224559529207735,2.323083368493437e-05,4.759083453202829e-10,0.022919409059689817,0.00016511452584045265,2.5668599088903826e-10,4119.563053333333,S2,Day 2
139,139,0.003250149756078965,2.341510047270016e-05,5.59983740112565e-10,0.023127332273442568,0.00016661250189145045,2.571393218001828e-10,2811.62264,S2,Day 2
140,140,0.003283611722560468,2.365709099146865e-05,1.3128582838509414e-09,0.023452565813756317,0.00016895621923553316,7.415112674541538e-10,767.52076,S2,Day 2
141,141,0.0033021407076020727,2.379046703561809e-05,1.4249976269823326e-09,0.023838882431287026,0.00017173950385013362,9.091186438786192e-10,449.54339333333326,S2,Day 2
142,142,0.003288681754203333,2.36929313300531e-05,8.052555863816641e-10,0.024091093720939413,0.0001735556414594181,4.887399531329448e-10,1680.7869766666668,S2,Day 2
143,143,0.0032881185917505488,2.3688461778725532e-05,6.682377174745454e-10,0.02421325867986025,0.00017443588736443732,2.814953208573025e-10,3112.07844,S2,Day 2
144,144,0.005851685347543054,4.215699161662331e-05,4.645951230039543e-10,0.01540219690463694,0.00011095939216243034,4.0017592725459677e-10,1756.3707766666666,S3,Day 1
145,145,0.008756132826509066,6.308095001408271e-05,4.1143700973212495e-10,0.007900549371988305,5.691701672011953e-05,3.3874529974926635e-10,382.2772766666667,S3,Day 1
146,146,0.008788597786709606,6.331535032951782e-05,6.887403714124828e-10,0.0065953057811542854,4.751415232165337e-05,5.945059652023568e-10,27.83501333333333,S3,Day 1
147,147,0.007213185498053461,5.19657051634689e-05,6.295726742184545e-10,0.012988764587768709,9.357345360493781e-05,5.761411578254817e-10,2964.1645633333333,S3,Day 1
148,148,0.0061986396862041,4.465638328665495e-05,4.4057154715443023e-10,0.02065549488960194,0.00014880525593589732,3.710746179002243e-10,3198.3143,S3,Day 1
149,149,0.005643953755113121,4.066127918387008e-05,8.720570798725545e-10,0.021284907030420762,0.00015334022181060698,7.827530664780907e-10,4438.285046666667,S3,Day 1
150,150,0.005477490711773066,3.946233475739189e-05,1.2988417597137149e-09,0.021639402916560718,0.00015589414165548864,1.094014181339089e-09,21.1613,S3,Day 1
151,151,0.00537636636536059,3.873375567004242e-05,1.209023990968206e-09,0.021891021775329613,0.00015770693035560869,1.0313204783442563e-09,13.63849,S3,Day 1
152,152,0.005283233021693661,3.8061677519422334e-05,3.8145744897016666e-10,0.021504318642379932,0.00015492016168119175,3.0997323306306773e-10,8868.32228,S3,Day 1
153,153,0.005278873000671897,3.8030296503571614e-05,3.2655384640109226e-10,0.02130275541403205,0.00015346811789631538,2.5306306002456265e-10,9362.432573333332,S3,Day 1
154,154,0.005304299092434728,3.82137930600325e-05,9.589769486967927e-10,0.020862248774888296,0.00015029495799040232,7.728563210721673e-10,1595.9581633333332,S3,Day 1
155,155,0.005352305264140361,3.855928415514985e-05,3.7632612375070027e-10,0.020243973675814115,0.00014584050037012869,3.0197238884704256e-10,5359.34267,S3,Day 1
156,156,0.005260289418004898,3.789638068279597e-05,3.7701951798932213e-10,0.019549792074403168,0.0001408395352585647,3.509462562545504e-10,8067.227873333332,S3,Day 1
157,157,0.005326875886080769,3.837619657178701e-05,4.970221992978584e-10,0.01958178092981201,0.00014107016326155792,3.882406740783635e-10,7132.3121599999995,S3,Day 1
158,158,0.005166550635660239,3.722224591665598e-05,1.217628051999208e-09,0.019044737123752275,0.0001372019105579098,1.053061410376467e-09,71.79420666666667,S3,Day 1
159,159,0.0050237589390179655,3.619334572062861e-05,1.087198931450914e-09,0.018500536846532536,0.00013328123808995106,9.532088116489708e-10,406.02331666666674,S3,Day 1
160,160,0.004927709137349657,3.5500407150126204e-05,3.5287756825249566e-10,0.01841906626293232,0.0001326935971017951,3.236564793801473e-10,6031.037993333332,S3,Day 1
161,161,0.004904312533270228,3.53320468556766e-05,3.6549288640164496e-10,0.02199451320125198,0.0001584518871350175,3.3718282221799906e-10,7421.361866666667,S3,Day 1
162,162,0.0048947962075427285,3.526350827513979e-05,3.713333194072755e-10,0.028819954312951868,0.00020762317073870902,3.281508932740497e-10,2935.5354233333333,S3,Day 1
163,163,0.004963478150673686,3.5758406538874985e-05,4.884098664828102e-10,0.028395256325507236,0.00020456354411065226,3.8886513956254924e-10,5171.349429999999,S3,Day 1
164,164,0.005097935935839157,3.672767798325602e-05,1.1132666804981026e-09,0.02895521245236992,0.00020859795510678103,9.84938057701469e-10,472.52361666666667,S3,Day 1
165,165,0.005169182760754498,3.724099059719832e-05,1.1941709241165115e-09,0.02952809413665702,0.00021272501889562,1.063844352630793e-09,71.28601666666667,S3,Day 1
166,166,0.0051924028941055436,3.740727866622834e-05,4.967506302485404e-10,0.02961938669322294,0.00021338223576272228,3.8509400649433317e-10,2047.42015,S3,Day 1
167,167,0.005098966223255892,3.6734193136479904e-05,3.376509657070118e-10,0.029291413134038668,0.00021101938482810483,2.8733886023607456e-10,6850.190543333332,S3,Day 1
168,168,0.005096347735950868,3.671545684065627e-05,2.953330402869578e-10,0.028699653511668224,0.0002067563716638152,2.775879454360528e-10,3799.39847,S3,Day 1
169,169,0.005157614115786808,3.715677673407658e-05,3.652852252334643e-10,0.027845895670923014,0.000200605881486482,3.077261882676765e-10,6860.705683333334,S3,Day 1
170,170,0.005086922466711714,3.6647490106468766e-05,3.1660767423869087e-10,0.025714767758113037,0.0001852526715935777,2.679216011182243e-10,10234.82131,S3,Day 1
171,171,0.005054700950034648,3.641538813313014e-05,3.237716231810457e-10,0.022953469997553908,0.00016536023935816944,2.750203769891971e-10,7138.017923333334,S3,Day 1
172,172,0.005015810176241607,3.613580669902091e-05,6.104769071595369e-10,0.020298140089250957,0.00014623122669442945,4.955655404746886e-10,4680.708116666667,S3,Day 1
173,173,0.005112523583852816,3.683307183564813e-05,1.2571103904829904e-09,0.018722688161087003,0.00013488179558486334,1.1883292755948493e-09,30.9264,S3,Day 1
174,174,0.005196291302211387,3.7436663075176e-05,1.1575202128067027e-09,0.01742056183389163,0.000125501264079714,1.09345111117654e-09,33.42133333333334,S3,Day 1
175,175,0.005191440158267925,3.740179076434057e-05,1.0871442733909513e-09,0.016602851910558984,0.00011961030567859011,9.504618888629652e-10,351.63493666666665,S3,Day 1
176,176,0.005189697495635965,3.7388538176763105e-05,6.757610851268081e-10,0.016583983571395674,0.00011947413282410756,5.754174943941271e-10,1636.870253333333,S3,Day 1
177,177,0.005134701580915291,3.699169350563056e-05,3.478542000309357e-10,0.016152648104795168,0.00011636606922957984,2.845193549419705e-10,9252.945096666666,S3,Day 1
178,178,0.005056433251399867,3.6427916254675093e-05,3.4814251019315005e-10,0.01567826751032101,0.00011294876940094548,3.055455591642322e-10,5009.16028,S3,Day 1
